Order ID,Buyer,Gig Title,Amount,Currency,Date,Type
Not Available,mickeycartel,Tip,4.0,USD,2021-04-05,Funds Cleared
FO1800F9AC43,mickeycartel,design an amazing  word art or put words in any shape,8.0,USD,2021-04-05,Funds Cleared
FO3FFA048585,stfsiddiq,design an amazing  word art or put words in any shape,8.0,USD,2021-04-01,Funds Cleared
FO61BF4610548,ahgerling,vectorize vector logo vector tracing convert to vector asap,4.0,USD,2021-04-01,Funds Cleared
FO1807DDF143,fedagnt,do amazing word art word in shape or typography design,12.0,USD,2021-03-29,Order Revenue
FO1100D65B787,stfsiddiq,design an amazing  word art or put words in any shape,4.0,USD,2021-03-28,Order Revenue
FO713E2E10A03,stfsiddiq,do amazing word art word in shape or typography design,20.0,USD,2021-03-24,Funds Cleared
Not Available,mickeycartel,Tip,4.0,USD,2021-03-22,Order Revenue
FO1800F9AC43,mickeycartel,design an amazing  word art or put words in any shape,8.0,USD,2021-03-22,Order Revenue
Not Available,fedagnt,Tip,8.0,USD,2021-03-21,Funds Cleared
FO3BEA7DC743,fedagnt,do amazing word art word in shape or typography design,4.0,USD,2021-03-21,Funds Cleared
FO717CD4305C5,stfsiddiq,design an amazing  word art or put words in any shape,8.0,USD,2021-03-19,Funds Cleared
FO3FFA048585,stfsiddiq,design an amazing  word art or put words in any shape,8.0,USD,2021-03-18,Order Revenue
FO81FBAF62308,stfsiddiq,design an amazing  word art or put words in any shape,8.0,USD,2021-03-18,Funds Cleared
FO61BF4610548,ahgerling,vectorize vector logo vector tracing convert to vector asap,4.0,USD,2021-03-18,Order Revenue
FO4BED9AD8C2,bodhivida,design an amazing  word art or put words in any shape,-4.0,USD,2021-03-11,Cancelled Payment Refunded to Buyer
FO713E2E10A03,stfsiddiq,do amazing word art word in shape or typography design,20.0,USD,2021-03-10,Order Revenue
Not Available,fedagnt,Tip,12.0,USD,2021-03-09,Funds Cleared
FO81BA664ADC6,fedagnt,do amazing word art word in shape or typography design,16.0,USD,2021-03-09,Funds Cleared
FO4BED9AD8C2,bodhivida,design an amazing  word art or put words in any shape,4.0,USD,2021-03-09,Order Revenue
